ADA,LIQ,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,NEW/,
#,CODE,,,,IN ML,,PRICE,PRICE,PRICE,SHELF PRICE,CHNG,
AMERICAN BLEND,,,,,,,,,,,,
,,,,,,,,,,,,
221,1218,,EVAN WILLIAMS SINGLE BARREL,86.6,750,6,25.45,24.18,24.65,28.98,,
221,71557,,EVAN WILLIAMS SB/BARREL FLASK,86.6,750,6,25.45,24.18,24.65,28.98,,
221,89036,,EZRA B.,99.0,750,6,26.35,25.02,25.51,29.99,,
221,1705,,EZRA BROOKS SOUR MASH (KY),90.0,200,48,2.60,2.46,2.51,2.95,,
221,8717,,EZRA BROOKS SOUR MASH (KY),90.0,750,12,9.90,9.42,9.60,11.28,,
221,94250,,EZRA BROOKS SOUR MASH (KY),90.0,1750,6,21.05,19.99,20.38,23.96,,
221,743,,EZRA BROOKS SOUR MASH (KY) PL,90.0,50,120,0.85,0.80,0.82,0.96,,
221,94140,,EZRA BROOKS SOUR MASH (KY) PL,90.0,375,24,5.00,4.75,4.84,5.69,,
221,86743,,FIGHTING COCK BBN,103.0,50,120,0.85,0.80,0.82,0.96,,
221,84476,,FIGHTING COCK BBN,103.0,375,24,7.60,7.21,7.35,8.64,,
221,84566,,FIGHTING COCK BBN,103.0,750,12,15.80,15.00,15.29,17.98,,
221,6522,,FOUR ROSES BOURBON,80.0,750,12,16.65,15.83,16.14,18.97,,
221,7083,,FOUR ROSES BOURBON,80.0,1750,6,26.35,25.02,25.51,29.99,,
221,7486,,FOUR ROSES LTD ED SMALL BATCH,110.0,750,6,61.45,58.38,59.52,69.97,,
221,6499,,FOUR ROSES SINGLE BARREL,100.0,750,6,35.10,33.33,33.98,39.95,,
221,6500,,FOUR ROSES SMALL BATCH,90.0,750,6,26.35,25.02,25.51,29.99,,
321,1295,,GEORGE T. STAGG,137.6,750,6,62.35,59.22,60.37,70.97,,
321,93900,,HANCOCK'S RESERVE BBN,88.9,750,6,48.30,45.88,46.77,54.98,,
221,87060,,HEAVEN HILL BOURBON,80.0,750,12,6.55,6.22,6.34,7.45,,
221,1383,,HENRY MCKENNA SINGLE BARREL,100.0,750,6,26.35,25.02,25.51,29.99,,
221,4071,,JEFFERSON'S,82.3,750,6,30.70,29.17,29.74,34.96,,
221,4072,,JEFFERSON'S RESERVE,90.2,750,6,48.30,45.88,46.77,54.98,,
321,6279,,JEREMIAH WEED BLENDED BBN,90.0,750,12,14.45,13.73,14.00,16.46,,
321,6282,,JEREMIAH WEED CHERRY MASH BBN,90.0,750,12,14.45,13.73,14.00,16.46,,
321,85473,,JIM BEAM,80.0,50,120,1.30,1.23,1.25,1.47,,
321,9244,,JIM BEAM,80.0,100,48,2.15,2.05,2.09,2.46,,
321,9247,,JIM BEAM,80.0,750,12,14.90,14.17,14.45,16.98,,
321,9241,,JIM BEAM,80.0,1000,12,19.30,18.33,18.69,21.97,,
321,9248,,JIM BEAM,80.0,1750,6,28.10,26.68,27.20,31.98,,
321,6855,,JIM BEAM (SQUARE),80.0,375,12,7.85,7.45,7.60,8.93,,
321,9242,,JIM BEAM PL,80.0,200,48,4.35,4.12,4.20,4.94,,
321,6854,,JIM BEAM PL,80.0,375,12,7.85,7.45,7.60,8.93,,
321,9257,,JIM BEAM PL,80.0,750,12,14.90,14.17,14.45,16.98,,
321,71774,,JIM BEAM W/BASEBALL CAP,80.0,750,6,14.90,14.17,14.45,16.98,,
321,71464,,JIM BEAM W/BBQ SAUCE,80.0,1750,6,28.10,26.68,27.20,31.98,,
321,71717,,JIM BEAM W/KID ROCK DOWNLOADS,80.0,750,12,14.90,14.17,14.45,16.98,,
321,71924,,JIM BEAM W/MUSIC DOWNLOAD CODE,80.0,750,12,14.90,14.17,14.45,16.98,NEW,
321,71646,,JIM BEAM W/50ML BLACK,80.0,750,12,14.90,14.17,14.45,16.98,,
321,71909,,JIM BEAM W/50ML DEVIL'S CUT,80.0,750,12,14.90,14.17,14.45,16.98,NEW,
321,71434,,JIM BEAM W/50ML JIM BEAM RYE,80.0,750,12,14.90,14.17,14.45,16.98,,
321,71736,,JIM BEAM W/50ML RED STAG,80.0,375,12,7.85,7.45,7.60,8.93,,
321,71510,,JIM BEAM W/50ML RED STAG,80.0,750,12,14.90,14.17,14.45,16.98,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STRAIGHT BOURBON (CONTINUED),,,,,,,,,,,,
,,,,,,,,,,,,
321,98626,,JIM BEAM BLACK,86.0,375,24,10.50,9.97,10.16,11.95,,
321,98636,,JIM BEAM BLACK,86.0,750,12,20.15,19.15,19.52,22.95,,
321,4251,,JIM BEAM BLACK,86.0,1000,12,25.45,24.18,24.65,28.98,,
321,98646,,JIM BEAM BLACK,86.0,1750,6,39.50,37.52,38.25,44.97,,
321,97160,,JIM BEAM BLACK (SQUARE),86.0,375,24,10.50,9.97,10.16,11.95,,
321,171,,JIM BEAM BLACK PL,86.0,50,120,1.30,1.23,1.25,1.47,,
321,71773,,JIM BEAM BLACK W/FLASK,86.0,750,6,20.15,19.15,19.52,22.95,,
321,71920,,JIM BEAM BLACK W/GOLF TOWEL,86.0,750,12,20.15,19.15,19.52,22.95,NEW,
321,71599,,JIM BEAM BLACK W/2 GLS,86.0,750,6,20.15,19.15,19.52,22.95,,
321,7777,,JIM BEAM DEVIL'S CUT,90.0,50,60,0.85,0.80,0.82,0.96,NEW,
321,7874,,JIM BEAM DEVIL'S CUT,90.0,375,12,12.70,12.07,12.30,14.46,NEW,
321,7817,,JIM BEAM DEVIL'S CUT,90.0,750,12,21.90,20.82,21.23,24.95,NEW,
321,7818,,JIM BEAM DEVIL'S CUT,90.0,1750,6,39.50,37.52,38.25,44.97,NEW,
321,8197,,JIM BEAM'S CHOICE,80.0,750,12,15.80,15.00,15.29,17.98,,
321,90205,,JIM BEAM'S CHOICE,80.0,1750,6,30.70,29.17,29.74,34.96,,
321,89283,,KNOB CREEK BBN,100.0,50,60,2.60,2.46,2.51,2.95,,
321,98826,,KNOB CREEK BBN,100.0,375,12,15.80,15.00,15.29,17.98,,
321,84840,,KNOB CREEK BBN,100.0,750,6,30.70,29.17,29.74,34.96,,
321,4204,,KNOB CREEK BBN,100.0,1000,6,37.75,35.86,36.56,42.98,,
321,95670,,KNOB CREEK BBN,100.0,1750,6,59.70,56.72,57.82,67.97,,
321,71776,,KNOB CREEK BBN W/FLASK,100.0,750,6,30.70,29.17,29.74,34.96,,
321,7480,,KNOB CREEK SINGLE BARREL RESER,120.0,750,6,39.50,37.52,38.25,44.97,,
321,88513,,MAKER'S MARK BBN,90.0,50,120,2.15,2.05,2.09,2.46,,
321,913,,MAKER'S MARK BBN,90.0,200,24,7.00,6.65,6.78,7.97,,
321,1411,,MAKER'S MARK BBN,90.0,375,12,13.15,12.50,12.74,14.98,,
321,9307,,MAKER'S MARK BBN,90.0,750,12,23.70,22.52,22.96,26.99,,
321,9301,,MAKER'S MARK BBN,90.0,1000,12,30.70,29.17,29.74,34.96,,
321,97346,,MAKER'S MARK BBN,90.0,1750,6,48.30,45.88,46.77,54.98,,
